UTC;command
2025-05-29 18:39:46.614782+00:00;0
2025-05-29 18:40:48.854600+00:00;0
2025-05-29 18:41:50.960798+00:00;0
2025-05-29 18:42:53.165273+00:00;0
2025-05-29 18:43:55.436850+00:00;0
2025-05-29 18:44:57.562310+00:00;0
2025-05-29 18:45:59.806506+00:00;0
2025-05-29 18:47:07.250352+00:00;2
2025-05-29 18:47:07.250352+00:00;2
2025-05-29 18:48:09.587138+00:00;2
2025-05-29 18:49:11.700708+00:00;2
2025-05-29 18:50:13.999859+00:00;2
2025-05-29 18:51:21.464974+00:00;0
2025-05-29 18:51:21.464974+00:00;0
2025-05-29 18:52:28.830354+00:00;2
2025-05-29 18:52:28.830354+00:00;2
2025-05-29 18:53:36.312814+00:00;0
2025-05-29 18:53:36.312814+00:00;0
2025-05-29 18:54:38.461294+00:00;0
2025-05-29 18:55:40.620228+00:00;0
2025-05-29 18:56:42.903006+00:00;0
2025-05-29 18:57:45.070310+00:00;0
2025-05-29 18:58:47.338653+00:00;0
2025-05-29 18:59:54.684378+00:00;-2
2025-05-29 18:59:54.684378+00:00;-2
2025-05-29 19:01:02.015941+00:00;0
2025-05-29 19:01:02.016953+00:00;0
2025-05-29 19:02:09.401936+00:00;-2
2025-05-29 19:02:09.401936+00:00;-2
2025-05-29 19:03:11.602806+00:00;-1
2025-05-29 19:04:18.958366+00:00;0
2025-05-29 19:04:18.958366+00:00;0
2025-05-29 19:05:21.065471+00:00;0
2025-05-29 19:06:23.482441+00:00;0
2025-05-29 19:07:31.524400+00:00;-2
2025-05-29 19:07:31.524400+00:00;-2
2025-05-29 19:08:38.983301+00:00;0
2025-05-29 19:08:38.983301+00:00;0
2025-05-29 19:09:41.396238+00:00;-1
2025-05-29 19:10:43.565260+00:00;0
2025-05-29 19:11:50.968316+00:00;-2
2025-05-29 19:11:50.968316+00:00;-2
2025-05-29 19:12:53.147460+00:00;-1
2025-05-29 19:13:55.294160+00:00;-1
2025-05-29 19:14:57.790695+00:00;-1
2025-05-29 19:16:00.005851+00:00;-2
2025-05-29 19:17:02.220094+00:00;-1
2025-05-29 19:18:04.365805+00:00;-1
2025-05-29 19:19:06.564239+00:00;-1
2025-05-29 19:20:08.768164+00:00;-1
2025-05-29 19:21:10.984946+00:00;-1
2025-05-29 19:22:13.197366+00:00;-1
2025-05-29 19:23:15.359924+00:00;-1
2025-05-29 19:24:17.559112+00:00;-1
2025-05-29 19:25:19.829364+00:00;-1
2025-05-29 19:26:27.174395+00:00;0
2025-05-29 19:26:27.174395+00:00;0
2025-05-29 19:27:34.580084+00:00;-2
2025-05-29 19:27:34.580084+00:00;-2
2025-05-29 19:28:36.742432+00:00;-1
2025-05-29 19:29:38.899694+00:00;-1
2025-05-29 19:30:46.399740+00:00;0
2025-05-29 19:30:46.399740+00:00;0
2025-05-29 19:31:53.757868+00:00;-2
2025-05-29 19:31:53.758923+00:00;-2
2025-05-29 19:32:56.045602+00:00;-1
2025-05-29 19:33:58.344558+00:00;-1
2025-05-29 19:35:00.640167+00:00;-1
2025-05-29 19:36:02.904693+00:00;-1
2025-05-29 19:37:05.093293+00:00;-1
2025-05-29 19:38:07.295337+00:00;-1
2025-05-29 19:39:09.525285+00:00;-1
2025-05-29 19:40:11.861361+00:00;-1
2025-05-29 19:41:14.097527+00:00;-1
2025-05-29 19:42:16.345071+00:00;-1
2025-05-29 19:43:18.590495+00:00;-1
2025-05-29 19:44:20.807426+00:00;-1
2025-05-29 19:45:23.179000+00:00;-1
2025-05-29 19:46:25.393449+00:00;-2
2025-05-29 19:47:32.869249+00:00;0
2025-05-29 19:47:32.869249+00:00;0
2025-05-29 19:48:40.253179+00:00;-2
2025-05-29 19:48:40.253179+00:00;-2
2025-05-29 19:49:42.475556+00:00;-1
2025-05-29 19:50:44.628853+00:00;-1
2025-05-29 19:51:46.875879+00:00;-1
2025-05-29 19:52:49.175829+00:00;-1
2025-05-29 19:53:51.371946+00:00;-1
